"Notes"	"State"	"State Code"	"ICD Chapter"	"ICD Chapter Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2007"	"2007"	10255	4672840	219.5
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2008"	"2008"	10452	4718206	221.5
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2009"	"2009"	10513	4757938	221.0
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2010"	"2010"	10429	4779736	218.2
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2011"	"2011"	10471	4802740	218.0
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2012"	"2012"	10519	4822023	218.1
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2013"	"2013"	10569	4833722	218.7
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"1999"	"1999"	210	4430141	4.7
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2000"	"2000"	223	4447100	5.0
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2001"	"2001"	208	4467634	4.7
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2002"	"2002"	221	4480089	4.9
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2003"	"2003"	210	4503491	4.7
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2004"	"2004"	237	4530729	5.2
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2005"	"2005"	214	4569805	4.7
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2006"	"2006"	224	4628981	4.8
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2007"	"2007"	176	4672840	3.8
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2008"	"2008"	221	4718206	4.7
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2009"	"2009"	229	4757938	4.8
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2010"	"2010"	184	4779736	3.8
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2011"	"2011"	228	4802740	4.7
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2012"	"2012"	259	4822023	5.4
	"Alabama"	"01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2013"	"2013"	201	4833722	4.2
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"1999"	"1999"	1772	4430141	40.0
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2000"	"2000"	1762	4447100	39.6
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2001"	"2001"	1784	4467634	39.9
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2002"	"2002"	1931	4480089	43.1
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2003"	"2003"	1863	4503491	41.4
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2004"	"2004"	1885	4530729	41.6
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2005"	"2005"	1941	4569805	42.5
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2006"	"2006"	1894	4628981	40.9
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2007"	"2007"	1800	4672840	38.5
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2008"	"2008"	1850	4718206	39.2
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2009"	"2009"	1761	4757938	37.0
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2010"	"2010"	1772	4779736	37.1
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2011"	"2011"	1782	4802740	37.1
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2012"	"2012"	1810	4822023	37.5
	"Alabama"	"01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"2013"	"2013"	1920	4833722	39.7
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"1999"	"1999"	677	4430141	15.3
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2000"	"2000"	769	4447100	17.3
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2001"	"2001"	829	4467634	18.6
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2002"	"2002"	845	4480089	18.9
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2003"	"2003"	960	4503491	21.3
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2004"	"2004"	1014	4530729	22.4
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2005"	"2005"	1217	4569805	26.6
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2006"	"2006"	1576	4628981	34.0
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2007"	"2007"	1648	4672840	35.3
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2008"	"2008"	1888	4718206	40.0
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2009"	"2009"	1975	4757938	41.5
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2010"	"2010"	2340	4779736	49.0
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2011"	"2011"	2490	4802740	51.8
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2012"	"2012"	2861	4822023	59.3
	"Alabama"	"01"	"Mental and behavioural disorders"	"F01-F99"	"2013"	"2013"	2978	4833722	61.6
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"1999"	"1999"	1440	4430141	32.5
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2000"	"2000"	1601	4447100	36.0
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2001"	"2001"	1802	4467634	40.3
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2002"	"2002"	1911	4480089	42.7
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2003"	"2003"	2019	4503491	44.8
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2004"	"2004"	2125	4530729	46.9
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2005"	"2005"	2344	4569805	51.3
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2006"	"2006"	2368	4628981	51.2
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2007"	"2007"	2450	4672840	52.4
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2008"	"2008"	2490	4718206	52.8
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2009"	"2009"	2538	4757938	53.3
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2010"	"2010"	2539	4779736	53.1
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2011"	"2011"	2533	4802740	52.7
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2012"	"2012"	2457	4822023	51.0
	"Alabama"	"01"	"Diseases of the nervous system"	"G00-G98"	"2013"	"2013"	2591	4833722	53.6
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"1999"	"1999"	17548	4430141	396.1
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2000"	"2000"	17607	4447100	395.9
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2001"	"2001"	17301	4467634	387.3
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2002"	"2002"	17436	4480089	389.2
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2003"	"2003"	17338	4503491	385.0
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2004"	"2004"	16865	4530729	372.2
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2005"	"2005"	16989	4569805	371.8
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2006"	"2006"	16378	4628981	353.8
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2007"	"2007"	15786	4672840	337.8
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2008"	"2008"	15987	4718206	338.8
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2009"	"2009"	15776	4757938	331.6
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2010"	"2010"	15809	4779736	330.8
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2011"	"2011"	15577	4802740	324.3
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2012"	"2012"	15722	4822023	326.0
	"Alabama"	"01"	"Diseases of the circulatory system"	"I00-I99"	"2013"	"2013"	16252	4833722	336.2
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"1999"	"1999"	4345	4430141	98.1
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2000"	"2000"	4079	4447100	91.7
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2001"	"2001"	4230	4467634	94.7
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2002"	"2002"	4471	4480089	99.8
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2003"	"2003"	4508	4503491	100.1
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2004"	"2004"	4271	4530729	94.3
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2005"	"2005"	4374	4569805	95.7
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2006"	"2006"	4111	4628981	88.8
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2007"	"2007"	4421	4672840	94.6
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2008"	"2008"	4600	4718206	97.5
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2009"	"2009"	4711	4757938	99.0
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2010"	"2010"	4862	4779736	101.7
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2011"	"2011"	4939	4802740	102.8
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2012"	"2012"	5072	4822023	105.2
	"Alabama"	"01"	"Diseases of the respiratory system"	"J00-J98"	"2013"	"2013"	5169	4833722	106.9
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"1999"	"1999"	1456	4430141	32.9
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2000"	"2000"	1494	4447100	33.6
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2001"	"2001"	1588	4467634	35.5
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2002"	"2002"	1561	4480089	34.8
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2003"	"2003"	1592	4503491	35.4
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2004"	"2004"	1596	4530729	35.2
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2005"	"2005"	1608	4569805	35.2
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2006"	"2006"	1608	4628981	34.7
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2007"	"2007"	1617	4672840	34.6
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2008"	"2008"	1613	4718206	34.2
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2009"	"2009"	1636	4757938	34.4
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2010"	"2010"	1604	4779736	33.6
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2011"	"2011"	1689	4802740	35.2
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2012"	"2012"	1772	4822023	36.7
	"Alabama"	"01"	"Diseases of the digestive system"	"K00-K92"	"2013"	"2013"	1767	4833722	36.6
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"1999"	"1999"	75	4430141	1.7
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2000"	"2000"	72	4447100	1.6
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2001"	"2001"	61	4467634	1.4
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2002"	"2002"	91	4480089	2.0
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2003"	"2003"	71	4503491	1.6
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2004"	"2004"	77	4530729	1.7
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2005"	"2005"	80	4569805	1.8
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2006"	"2006"	79	4628981	1.7
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2007"	"2007"	71	4672840	1.5
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2008"	"2008"	74	4718206	1.6
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2009"	"2009"	53	4757938	1.1
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2010"	"2010"	81	4779736	1.7
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2011"	"2011"	81	4802740	1.7
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2012"	"2012"	77	4822023	1.6
	"Alabama"	"01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2013"	"2013"	93	4833722	1.9
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"1999"	"1999"	193	4430141	4.4
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2000"	"2000"	243	4447100	5.5
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2001"	"2001"	246	4467634	5.5
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2002"	"2002"	240	4480089	5.4
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2003"	"2003"	252	4503491	5.6
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2004"	"2004"	243	4530729	5.4
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2005"	"2005"	212	4569805	4.6
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2006"	"2006"	183	4628981	4.0
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2007"	"2007"	258	4672840	5.5
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2008"	"2008"	262	4718206	5.6
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2009"	"2009"	197	4757938	4.1
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2010"	"2010"	231	4779736	4.8
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2011"	"2011"	229	4802740	4.8
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2012"	"2012"	245	4822023	5.1
	"Alabama"	"01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2013"	"2013"	205	4833722	4.2
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"1999"	"1999"	1363	4430141	30.8
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2000"	"2000"	1294	4447100	29.1
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2001"	"2001"	1335	4467634	29.9
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2002"	"2002"	1368	4480089	30.5
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2003"	"2003"	1425	4503491	31.6
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2004"	"2004"	1385	4530729	30.6
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2005"	"2005"	1392	4569805	30.5
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2006"	"2006"	1458	4628981	31.5
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2007"	"2007"	1341	4672840	28.7
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2008"	"2008"	1351	4718206	28.6
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2009"	"2009"	1403	4757938	29.5
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2010"	"2010"	1460	4779736	30.5
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2011"	"2011"	1301	4802740	27.1
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2012"	"2012"	1368	4822023	28.4
	"Alabama"	"01"	"Diseases of the genitourinary system"	"N00-N98"	"2013"	"2013"	1383	4833722	28.6
	"Alabama"	"01"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"1999"	"1999"	10	4430141	Unreliable
	"Alabama"	"01"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"2005"	"2005"	12	4569805	Unreliable
	"Alabama"	"01"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"2006"	"2006"	10	4628981	Unreliable
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"1999"	"1999"	309	4430141	7.0
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2000"	"2000"	293	4447100	6.6
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2001"	"2001"	271	4467634	6.1
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2002"	"2002"	268	4480089	6.0
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2003"	"2003"	242	4503491	5.4
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2004"	"2004"	240	4530729	5.3
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2005"	"2005"	282	4569805	6.2
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2006"	"2006"	290	4628981	6.3
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2007"	"2007"	310	4672840	6.6
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2008"	"2008"	308	4718206	6.5
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2009"	"2009"	264	4757938	5.5
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2010"	"2010"	250	4779736	5.2
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2011"	"2011"	233	4802740	4.9
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2012"	"2012"	246	4822023	5.1
	"Alabama"	"01"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2013"	"2013"	252	4833722	5.2
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"1999"	"1999"	180	4430141	4.1
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2000"	"2000"	174	4447100	3.9
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2001"	"2001"	175	4467634	3.9
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2002"	"2002"	168	4480089	3.7
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2003"	"2003"	167	4503491	3.7
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2004"	"2004"	183	4530729	4.0
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2005"	"2005"	177	4569805	3.9
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2006"	"2006"	170	4628981	3.7
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2007"	"2007"	187	4672840	4.0
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2008"	"2008"	172	4718206	3.6
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2009"	"2009"	153	4757938	3.2
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2010"	"2010"	158	4779736	3.3
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2011"	"2011"	158	4802740	3.3
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2012"	"2012"	157	4822023	3.3
	"Alabama"	"01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2013"	"2013"	157	4833722	3.2
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"1999"	"1999"	984	4430141	22.2
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2000"	"2000"	973	4447100	21.9
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2001"	"2001"	976	4467634	21.8
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2002"	"2002"	1160	4480089	25.9
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2003"	"2003"	1457	4503491	32.4
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2004"	"2004"	1322	4530729	29.2
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2005"	"2005"	1307	4569805	28.6
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2006"	"2006"	1502	4628981	32.4
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2007"	"2007"	1371	4672840	29.3
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2008"	"2008"	1327	4718206	28.1
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2009"	"2009"	1316	4757938	27.7
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2010"	"2010"	1396	4779736	29.2
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2011"	"2011"	1754	4802740	36.5
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2012"	"2012"	1838	4822023	38.1
	"Alabama"	"01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2013"	"2013"	1578	4833722	32.6
	"Alabama"	"01"	"External causes of morbidity and mortality"	"V01-Y89"	"1999"	"1999"	3408	4430141	76.9
	"Alabama"	"01"	"External causes of morbidity and mortality"	"V01-Y89"	"2000"	"2000"	3245	4447100	73.0
	"Alabama"	"01"	"External causes of morbidity and mortality"	"V01-Y89"	"2001"	"2001"	3255	4467634	72.9
